Rating Agency;Corporation;Rating;Rating Date;CIK;Binary Rating;SIC Code;Sector;Ticker;Current Ratio;Long-term Debt / Capital;Debt/Equity Ratio;Gross Margin;Operating Margin;EBIT Margin;EBITDA Margin;Pre-Tax Profit Margin;Net Profit Margin;Asset Turnover;ROE - Return On Equity;Return On Tangible Equity;ROA - Return On Assets;ROI - Return On Investment;Operating Cash Flow Per Share;Free Cash Flow Per Share;
Standard & Poor's Ratings Services;American States Water Co.;A-;30-07-2010;1056903;1;4941.0;Utils;AWR;11.507;0.4551;0.8847;77.623;194.839;194.839;289.834;136.093;83.224;0.3173;81.724;81.978;26.385;4.453;19.957;-0.1333;
Standard & Poor's Ratings Services;Automatic Data Processing Inc.;AAA;16-09-2010;8670;1;7374.0;BusEq;ADP;11.129;0.0072;0.0073;436.619;198.327;198.327;239.379;208.699;13.569;0.3324;220.354;472.858;44.944;218.765;0.2501;0.3132;
Standard & Poor's Ratings Services;Avnet Inc.;BBB-;23-11-2010;8858;1;5065.0;Shops;AVT;19.276;0.2924;0.4255;119.008;33.173;33.173;36.338;30.536;21.418;2.462;136.376;167.991;52.731;96.494;-76.079;-73.231;
Standard & Poor's Ratings Services;California Water Service Co.;AA-;29-06-2010;1035201;1;4941.0;Utils;CWT;0.8358;0.4708;0.9491;645.096;184.549;184.549;279.377;151.135;90.246;0.2946;96.412;97.015;26.583;51.018;17.438;-0.8999;
Standard & Poor's Ratings Services;Cardinal Health Inc.;A;14-07-2010;721371;1;5122.0;Shops;CAH;12.931;0.2644;0.4036;38.385;13.269;13.269;15.847;12.304;0.6518;49.276;111.256;194.184;29.364;81.844;19.725;24.174;
Standard & Poor's Ratings Services;Cardinal Health Inc.;BBB+;16-09-2010;721371;1;5122.0;Shops;CAH;12.931;0.2644;0.4036;38.385;13.269;13.269;15.847;12.304;0.6518;49.276;111.256;194.184;29.364;81.844;19.725;24.174;
Standard & Poor's Ratings Services;Carpenter Technology Corp.;BBB;20-12-2010;17843;1;3312.0;Manuf;CRS;37.607;0.3116;0.4527;120.808;0.9761;0.9761;59.069;0.3921;0.1585;0.7571;0.3662;0.4034;0.1326;0.2521;-0.6973;0.9587;
Standard & Poor's Ratings Services;Companhia de Saneamento Basico do Estado de Sao Paulo;BB;07-12-2010;1170858;0;4941.0;Utils;SBS;0.8134;0.3452;0.6231;542.938;318.143;318.143;401.446;287.928;204.126;0.3121;130.426;152.863;63.671;85.405;15.316;0.1005;
Standard & Poor's Ratings Services;Compass Group PLC;BBB+;28-05-2010;1563190;1;7371.0;BusEq;COMP;10.668;0.3398;0.89;646.665;372.524;372.524;436.578;231.982;159.279;0.3886;212.038;183.188;65.242;118.033;12.684;0.9432;
Standard & Poor's Ratings Services;Diageo PLC;A-;01-10-2010;835403;1;2085.0;NoDur;DEO;17.627;0.6308;18.312;580.879;263.191;263.191;301.227;228.936;17.822;0.5027;370.226;-913.355;91.082;136.689;15.979;18.099;
Standard & Poor's Ratings Services;Entergy Corp;BBB-;15-09-2010;65984;1;4911.0;Utils;ETR;14.196;0.5595;13.798;655.206;21.26;21.26;348.363;175.307;114.567;0.2861;145.245;150.183;33.306;63.289;149.775;5.116;
Standard & Poor's Ratings Services;Entergy Corp;A-;28-09-2010;65984;1;4911.0;Utils;ETR;14.196;0.5595;13.798;655.206;21.26;21.26;348.363;175.307;114.567;0.2861;145.245;150.183;33.306;63.289;149.775;5.116;
Standard & Poor's Ratings Services;FMC Technologies Inc.;A;10-12-2010;1135152;1;3533.0;Manuf;FTI;12.307;0.2743;0.5031;448.414;184.424;184.424;222.616;15.834;99.892;0.6739;126.645;-522.393;67.318;91.905;47.202;41.827;
Standard & Poor's Ratings Services;FedEx Corp.;BBB;26-10-2010;1048911;1;4513.0;Other;FDX;15.681;0.1078;0.1397;774.457;57.523;57.523;113.894;54.529;34.088;13.948;85.729;101.972;47.546;76.491;11.699;-0.049;
Standard & Poor's Ratings Services;Flowserve Corp.;BB;05-11-2010;30625;0;3561.0;Manuf;FLS;17.141;0.2304;0.3145;354.648;144.211;147.838;170.209;133.965;98.021;10.274;237.731;527.409;10.081;18.296;25.506;19.125;
Standard & Poor's Ratings Services;Fluor Corp.;A;23-11-2010;1124198;1;1600.0;Other;FLR;15.515;0.0053;0.0383;59.169;51.051;51.051;60.856;51.695;31.145;30.634;219.826;225.789;102.093;218.662;50.039;39.227;
Standard & Poor's Ratings Services;Fresh Del Monte Produce Inc.;B;01-06-2010;1047340;0;100.0;NoDur;FDP;2.543;0.1589;0.1918;88.891;42.386;42.386;67.269;37.696;41.157;13.468;8.53;112.424;55.701;71.744;40.444;29.936;
Standard & Poor's Ratings Services;General Mills Inc.;BBB+;11-11-2010;40704;1;2040.0;NoDur;GIS;0.9233;0.4826;11.377;396.308;178.066;178.066;209.298;150.626;104.574;0.8279;271.778;-329.413;86.827;140.613;0.6462;0.4849;
Standard & Poor's Ratings Services;Jabil Inc.;BB+;03-11-2010;898293;0;3672.0;BusEq;JBL;12.909;0.3901;0.7449;74.884;24.428;24.428;45.554;1.844;12.591;21.058;107.213;116.947;26.817;65.385;-0.7281;-11.496;
Standard & Poor's Ratings Services;Kennametal Inc.;BBB;15-07-2010;55242;1;3540.0;Manuf;KMT;23.306;0.1909;0.2532;333.177;49.482;49.482;100.664;40.658;24.638;0.8308;37.216;72.057;21.882;3.011;-0.6116;0.1514;
Standard & Poor's Ratings Services;Kohl's Corp.;BBB+;07-12-2010;885639;1;5311.0;Shops;KSS;2.295;0.2072;0.2633;378.275;10.822;10.822;148.271;90.697;56.642;13.053;123.902;127.206;73.936;98.233;19.397;30.367;
Standard & Poor's Ratings Services;Koppers Holdings Inc.;B+;23-11-2010;1315257;0;2860.0;Chems;KOP;28.907;0.8595;61.186;158.129;84.401;84.401;108.058;31.572;1.672;17.449;395.986;-319.12;33.675;55.655;54.618;45.864;
Standard & Poor's Ratings Services;Korea Electric Power Corp.;A;30-11-2010;887225;1;4911.0;Utils;KEP;10.262;0.4022;0.8289;132.321;50.445;50.445;24.212;0.9484;-0.1404;0.3647;-0.1871;-0.1902;-0.0831;-0.1118;40.751;-28.945;
Standard & Poor's Ratings Services;Madison Gas & Electric Co.;AAA;07-12-2010;61339;1;4931.0;Utils;MGEE;12.984;0.3901;0.7712;54.097;158.602;158.602;235.557;148.303;95.532;0.4164;101.629;101.629;39.783;61.985;34.073;11.577;
Standard & Poor's Ratings Services;Micron Technology Inc.;B+;03-12-2010;827054;0;3674.0;BusEq;MCHP;79.206;0.1818;0.2222;563.708;25.847;25.847;360.324;250.929;228.974;0.3766;141.521;148.887;86.239;115.795;0.3803;0.5272;
Standard & Poor's Ratings Services;Microsoft Corp.;AAA;23-11-2010;789019;1;7372.0;BusEq;MSFT;21.293;0.0966;0.1286;801.629;385.667;385.667;428.446;400.311;300.237;0.7256;40.628;575.054;217.853;367.023;0.5805;0.7057;
Standard & Poor's Ratings Services;National Grid Gas PLC;A-;14-09-2010;1004315;1;4911.0;Utils;NGG;0.7722;0.8416;59.833;235.097;235.097;235.097;319.912;156.564;99.165;0.3216;312.247;-101.48;30.104;49.445;132.046;50.787;
Standard & Poor's Ratings Services;National Grid USA;A;16-12-2010;1004315;1;4911.0;Utils;NGG;0.7722;0.8416;59.833;235.097;235.097;235.097;319.912;156.564;99.165;0.3216;312.247;-101.48;30.104;49.445;132.046;50.787;
Standard & Poor's Ratings Services;Newmont USA Ltd.;BBB-;15-10-2010;1164727;1;1040.0;Other;NEM;25.095;0.2694;0.3813;609.604;387.541;387.541;492.148;383.387;168.332;0.3455;167.208;167.208;94.578;122.155;60.513;24.189;
Standard & Poor's Ratings Services;Northwest Natural Gas Co.;A-;16-06-2010;73020;1;4924.0;Utils;NWN;0.8361;0.4769;11.191;396.503;156.724;156.724;218.749;120.264;74.179;0.4221;113.803;113.803;31.311;59.535;90.433;39.589;
Standard & Poor's Ratings Services;PNM Resources Inc;BB-;14-12-2010;1108426;0;4911.0;Utils;PNM;10.265;0.4582;0.9539;451.846;116.488;116.488;221.751;57.503;75.446;0.3074;37.913;43.876;12.301;19.302;0.9567;-21.853;
Standard & Poor's Ratings Services;Rent-A-Center Inc.;BB-;28-10-2010;933036;0;7350.0;Other;RCII;26.667;0.3631;0.5701;722.395;107.678;107.678;321.399;98.246;60.995;1.126;134.552;-7.649.637;68.681;85.698;49.592;3.972;
Standard & Poor's Ratings Services;Shaw Communications Inc.;BBB-;16-11-2010;932872;1;4841.0;Telcm;SJR;0.5842;0.5897;14.374;100.0;295.493;295.493;508.916;195.588;143.299;0.3661;225.964;-223.017;61.655;92.717;0.4769;0.303;
Standard & Poor's Ratings Services;Southern Copper Corp.;BBB-;06-04-2010;1001838;1;1000.0;Other;SCCO;29.659;0.246;0.3288;500.351;397.707;397.707;470.963;376.092;248.878;0.6164;240.025;247.254;154.266;180.982;11.322;0.6584;
Standard & Poor's Ratings Services;Southern Power Company;BBB+;01-12-2010;1001838;1;1000.0;Other;SCCO;29.659;0.246;0.3288;500.351;397.707;397.707;470.963;376.092;248.878;0.6164;240.025;247.254;154.266;180.982;11.322;0.6584;
Standard & Poor's Ratings Services;Teck Resources Ltd.;BBB;08-09-2010;886986;1;1000.0;Other;TECK;15.491;0.3207;0.5489;477.195;325.518;325.518;47.785;344.019;238.597;0.2569;67.165;75.805;32.783;45.626;44.575;35.759;
Standard & Poor's Ratings Services;TransAlta Corp.;BB+;16-12-2010;1144800;0;4911.0;Utils;TAC;0.9941;0.5642;13.038;556.678;136.469;136.469;314.444;84.476;65.341;0.2838;57.311;73.962;20.002;24.976;25.387;-13.875;
DBRS;TransAlta Corporation;BBB;03-12-2010;1144800;1;4911.0;Utils;TAC;0.9941;0.5642;13.038;556.678;136.469;136.469;314.444;84.476;65.341;0.2838;57.311;73.962;20.002;24.976;25.387;-13.875;
Standard & Poor's Ratings Services;Tutor Perini Corporation;BB-;19-11-2010;77543;0;1540.0;Other;TPC;12.311;0.0617;0.0901;7.532;41.061;41.061;48.535;39.818;26.604;18.265;106.379;248.466;48.592;99.812;-0.5307;-12.423;
Standard & Poor's Ratings Services;Universal Health Services Inc.;BB+;25-06-2010;352915;0;8062.0;Hlth;UHS;13.661;0.3479;0.535;865.591;100.057;100.057;139.404;91.251;49.829;13.123;169.743;287.104;76.744;110.683;55.076;16.435;
Standard & Poor's Ratings Services;Vector Ltd.;BBB+;03-09-2010;59440;1;6531.0;Money;VGR;2.612;10.097;-1.088.904;279.613;178.625;178.625;191.598;35.605;3.095;10.897;-5.298.164;-221.101;33.725;51.331;0.05;0.016;
Standard & Poor's Ratings Services;ALLETE Inc.;A;08-04-2011;66756;1;4931.0;Utils;ALE;15.085;0.4393;0.798;641.566;149.724;149.724;239.471;131.312;83.021;0.3476;75.939;75.939;28.669;42.582;24.005;5.026;
Standard & Poor's Ratings Services;Abbott Laboratories;AAA;19-10-2011;1800;1;3845.0;Hlth;ABT;17.866;0.327;0.7097;570.634;202.691;202.691;27.061;233.832;186.767;0.5851;24.78;1.554.933;109.275;16.677;46.782;39.779;
Standard & Poor's Ratings Services;Abbott Laboratories;AAA;23-11-2011;1800;1;3845.0;Hlth;ABT;17.866;0.327;0.7097;570.634;202.691;202.691;27.061;233.832;186.767;0.5851;24.78;1.554.933;109.275;16.677;46.782;39.779;
Standard & Poor's Ratings Services;Air Products and Chemicals Inc.;A;16-02-2011;2969;1;2810.0;Chems;APD;13.519;0.3911;0.7246;270.099;147.131;147.131;243.091;147.712;119.439;0.638;169.721;215.018;71.598;103.341;0.6135;15.522;
Standard & Poor's Ratings Services;Alaska Air Group Inc.;B;29-07-2011;766421;0;4512.0;Other;ALK;11.666;0.5429;13.879;100.0;122.912;122.912;182.933;10.595;65.501;0.7639;227.067;227.067;50.034;103.788;17.357;35.875;
Standard & Poor's Ratings Services;Alliant Energy Corp.;BBB;27-07-2011;352541;1;4931.0;Utils;LNT;12.911;0.4434;0.8932;556.386;115.601;115.601;208.298;34.867;32.387;0.3793;46.419;4.267;14.254;23.751;29.773;-22.315;
Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;B-;07-06-2011;1062231;0;3714.0;Durbl;AXL;1.058;18.638;-21.577;175.953;8.94;8.94;147.043;52.037;50.548;10.796;-244.606;-183.523;54.145;211.294;29.232;40.162;
Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;B-;12-07-2011;1062231;0;3714.0;Durbl;AXL;1.058;18.638;-21.577;175.953;8.94;8.94;147.043;52.037;50.548;10.796;-244.606;-183.523;54.145;211.294;29.232;40.162;
Standard & Poor's Ratings Services;American Axle & Manufacturing Holdings Inc.;B;31-10-2011;1062231;0;3714.0;Durbl;AXL;1.058;18.638;-21.577;175.953;8.94;8.94;147.043;52.037;50.548;10.796;-244.606;-183.523;54.145;211.294;29.232;40.162;
Standard & Poor's Ratings Services;American States Water Co.;A+;25-07-2011;1056903;1;4941.0;Utils;AWR;11.372;0.4426;0.9565;798.565;184.651;184.651;285.733;135.391;82.604;0.3354;82.351;82.595;26.082;45.899;-0.5609;-0.5196;
Standard & Poor's Ratings Services;AmerisourceBergen Corp.;A-;26-01-2011;1140859;1;5122.0;Shops;ABC;1.085;0.3125;0.4548;29.894;14.039;14.039;1.519;13.065;0.8187;53.881;213.182;5.780.447;43.631;146.552;12.707;11.387;
Standard & Poor's Ratings Services;AmerisourceBergen Corp.;A;31-10-2011;1140859;1;5122.0;Shops;ABC;1.046;0.2534;0.4761;31.247;15.115;15.115;16.475;14.206;0.8979;52.524;243.296;1.140.864;46.553;181.653;0.346;0.4003;
Standard & Poor's Ratings Services;Amgen Inc.;A+;11-03-2011;318154;1;2836.0;Hlth;AMGN;35.204;0.3123;0.5581;852.521;368.365;368.365;435.926;353.219;307.381;0.3462;193.243;445.761;106.402;132.891;-0.2088;-0.2907;
Standard & Poor's Ratings Services;Amgen Inc.;A-;12-09-2011;318154;1;2836.0;Hlth;AMGN;35.204;0.3123;0.5581;852.521;368.365;368.365;435.926;353.219;307.381;0.3462;193.243;445.761;106.402;132.891;-0.2088;-0.2907;
Standard & Poor's Ratings Services;Amgen Inc.;A+;07-11-2011;318154;1;2836.0;Hlth;AMGN;35.204;0.3123;0.5581;852.521;368.365;368.365;435.926;353.219;307.381;0.3462;193.243;445.761;106.402;132.891;-0.2088;-0.2907;
Standard & Poor's Ratings Services;Amgen Inc.;A+;30-11-2011;318154;1;2836.0;Hlth;AMGN;35.204;0.3123;0.5581;852.521;368.365;368.365;435.926;353.219;307.381;0.3462;193.243;445.761;106.402;132.891;-0.2088;-0.2907;
Standard & Poor's Ratings Services;Amkor Technology Inc.;B+;10-05-2011;1047127;0;3674.0;BusEq;AMKR;15.399;0.7754;36.802;220.455;103.399;103.399;245.792;58.062;7.158;0.8957;401.033;411.568;64.237;9.008;0.9937;0.1772;
Standard & Poor's Ratings Services;Amkor Technology Inc.;BB;17-05-2011;1047127;0;3674.0;BusEq;AMKR;15.399;0.7754;36.802;220.455;103.399;103.399;245.792;58.062;7.158;0.8957;401.033;411.568;64.237;9.008;0.9937;0.1772;
Standard & Poor's Ratings Services;Amphenol Corp.;BBB;06-12-2011;820313;1;3678.0;BusEq;APH;30.415;0.2545;0.3415;325.885;197.056;197.056;225.993;186.739;139.671;0.885;214.458;620.711;125.107;159.884;-0.2345;-0.301;
Standard & Poor's Ratings Services;Analog Devices Inc.;A-;29-11-2011;6281;1;3674.0;BusEq;ADI;83.549;0.1868;0.2335;663.658;358.139;358.139;397.633;354.605;289.777;0.5672;226.825;24.54;163.121;184.453;-0.319;-0.3534;
Standard & Poor's Ratings Services;Arrow Electronics Inc.;BBB;14-10-2011;7536;1;5065.0;Shops;ARW;16.315;0.3514;0.5605;129.029;40.053;40.053;46.026;36.224;25.588;19.525;147.523;299.019;49.958;95.688;-52.071;-5.005;
Standard & Poor's Ratings Services;AstraZeneca PLC;AA-;12-04-2011;901832;1;2834.0;Hlth;AZN;13.469;0.305;0.5313;823.954;351.878;351.878;415.498;329.442;229.972;0.5973;362.327;-5.829.985;137.363;251.819;40.479;37.638;
Standard & Poor's Ratings Services;Atmos Energy Corp.;A;29-04-2011;731802;1;4924.0;Utils;ATO;0.7505;0.4538;10.539;281.939;99.512;99.512;14.606;66.306;44.161;0.6891;87.154;132.006;28.069;47.607;-21.727;-24.831;
Standard & Poor's Ratings Services;AutoZone Inc.;BBB-;13-06-2011;866787;1;5531.0;Shops;AZO;0.8524;13.446;-3.937;504.134;179.205;179.205;206.176;157.621;100.278;13.215;-999.386;-708.954;132.513;344.436;77.639;62.717;
Standard & Poor's Ratings Services;Automatic Data Processing Inc.;AAA;09-11-2011;8670;1;7374.0;BusEq;ADP;10.671;0.0057;0.0057;419.465;184.074;184.074;221.519;195.058;12.755;0.2872;207.141;560.533;36.363;205.969;0.0837;-0.0569;
Standard & Poor's Ratings Services;Avery Dennison Corp.;A;06-12-2011;8818;1;2670.0;Manuf;AVY;0.928;0.4441;11.921;242.258;-0.187;-0.187;210.096;-178.666;-143.978;10.367;-612.506;-5.578.882;-166.827;-340.472;54.923;45.241;
Standard & Poor's Ratings Services;Avnet Inc.;BBB-;08-11-2011;8858;1;5065.0;Shops;AVT;18.374;0.239;0.3739;117.124;35.048;35.048;38.115;32.824;25.215;26.787;164.955;210.996;67.545;125.539;20.005;14.642;
Standard & Poor's Ratings Services;BCE Inc.;BBB-;04-04-2011;718940;1;4813.0;Telcm;BCE;0.6862;0.3636;0.6047;744.855;209.643;209.643;399.719;138.145;97.998;0.4661;135.765;350.689;54.424;73.117;5.562;23.118;
Standard & Poor's Ratings Services;BCE Inc.;BBB-;01-07-2011;718940;1;4813.0;Telcm;BCE;0.6862;0.3636;0.6047;744.855;209.643;209.643;399.719;138.145;97.998;0.4661;135.765;350.689;54.424;73.117;5.562;23.118;
Standard & Poor's Ratings Services;Baker Hughes Inc.;A-;19-08-2011;1701605;1;1389.0;Enrgy;BKR;27.738;0.1992;0.2719;224.088;98.307;98.307;172.471;88.941;56.334;0.6271;57.329;119.597;3.563;45.908;-18.168;-20.971;
Standard & Poor's Ratings Services;Ball Corporation;BB+;10-08-2011;9389;0;3411.0;Manuf;BLL;16.668;0.6197;16.961;180.328;10.021;10.021;135.007;79.476;61.337;11.014;330.861;-599.105;79.189;125.834;-0.0696;-0.3356;
Standard & Poor's Ratings Services;Barrick Gold Corp.;A-;19-05-2011;756894;1;1040.0;Other;GOLD;27.475;0.2799;0.3922;53.208;-454.031;-454.031;-322.149;-446.165;-52.532;0.3022;-277.073;-424.528;-162.123;-199.516;-25.714;-51.639;
Standard & Poor's Ratings Services;Beazer Homes USA Inc.;CCC;24-05-2011;915840;0;1531.0;Other;BZH;340.768;0.7531;3.051;84.376;-114.447;-114.447;-100.922;-149.246;-34.353;0.5209;-74.465;-74.465;-15.539;-18.382;-62.994;-62.974;
Standard & Poor's Ratings Services;Belden Inc.;B+;26-04-2011;913142;0;3670.0;BusEq;BDC;24.051;0.4633;0.8632;289.519;75.573;75.573;11.139;45.009;70.273;0.9098;95.966;355.968;36.119;51.507;-0.9236;-0.6908;
Standard & Poor's Ratings Services;Bio-Rad Laboratories Inc.;BBB;29-04-2011;12208;1;3826.0;BusEq;BIO;29.632;0.3218;0.6259;566.384;147.375;147.375;147.375;114.307;96.253;0.6292;121.346;19.219;61.035;82.292;-36.566;-43.562;
Standard & Poor's Ratings Services;Biogen Inc.;BBB+;06-12-2011;875045;1;2836.0;Hlth;BIIB;24.192;0.1637;0.2209;915.135;264.796;264.796;340.222;260.771;213.143;0.5828;164.893;355.125;111.038;137.906;26.613;25.546;
